Bird,Total_songs_set1,Whistle_songs_set1,Total_songs_set2,Whistle_songs_set2,,,,,,,,
AShyRonny,164,35,137,29,,,,,,,,
Biggie,233,36,207,29,,,,,,,,
Coco,260,30,218,26,,,,,,,,
finnegan,nan,nan,nan,nan,,,,,,,,
Grandmaster,226,29,265,24,,,,,,,,
Isaac,263,32,176,26,,,,,,,,
legolas,nan,nan,nan,nan,,,,Kermit,152,25,288,39
Nnandi,208,59,466,89,,,,,,,,
Quentin,235,38,196,42,,,,Ozzy,139,25,272,34
Reginald,176,28,310,45,,,,,,,,
Uilli,nan,nan,149,34,,,,,,,,
