bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,,
Jumbo,0,14,9,1,1555.860447,1183.702071,1183.784234,1557.615894
Jumbo,0,14,9,2,1604.161888,1183.959369,1184.102071,1604.528122
Jumbo,0,14,9,3,1597.094188,1184.238288,1184.389639,1598.831461
Jumbo,0,14,9,4,1590.350877,1184.538828,1184.69018,1585.617978
Jumbo,0,14,9,5,1599.082569,1184.848017,1185.001531,1602.451994
Mumbo,1,17,10,1,2057.216299,1335.539977,1335.661058,2056.348315
Mumbo,1,17,10,2,2054.610951,1335.864302,1335.985383,2056.348315
Mumbo,1,17,10,3,2091.752266,1336.177815,1336.333491,2093.882901
Mumbo,1,17,10,4,2150.893669,1336.491329,1336.644842,2149.630724
Mumbo,1,17,10,5,2185.077237,1336.804842,1336.958356,2188.714919
Jumbo,0,17,10,1,2094.73156,1343.697747,1343.831801,2096.092693
Jumbo,0,17,10,2,2092.078921,1344.056666,1344.205855,2091.06383
Jumbo,0,17,10,3,2091.497976,1344.422071,1344.577747,2093.882901
Jumbo,0,17,10,4,2099.716752,1344.772342,1344.932342,2099.702423
Jumbo,0,17,10,5,2090.818418,1345.10099,1345.265315,2093.335173
Jumbo,0,17,10,6,2102.820685,1345.433963,1345.60045,2102.001907
Jumbo,0,17,10,7,2093.751617,1345.779909,1345.955044,2095.378042
Jumbo,0,17,10,8,2109.722222,1346.143153,1346.277207,2103.552097
Mumbo,1,20,11,1,1327.758441,1662.943221,1663.070788,1332.5631
Mumbo,1,20,11,2,1414.230494,1663.297815,1663.444842,1414.682295
Mumbo,1,20,11,3,1444.188963,1663.635112,1663.799437,1442.21057
Mumbo,1,20,11,4,1448.150709,1663.996194,1664.188626,1449.734889
Mumbo,1,20,11,5,1444.67241,1664.394031,1664.588626,1443.964111
Jumbo,0,20,11,1,5515.980243,1671.129098,1671.645855,5515.160823
Jumbo,0,20,11,2,5508.79564,1671.972342,1672.528017,5508.450992
Jumbo,0,20,11,3,5513.219616,1672.748558,1673.213423,5513.306668
