bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,,
Asimov,1,19,6,3,5429.165187,1448.761963,1449.323975,5428.650393
Nocciolato,0,21,7,1,3576.088935,1609.561599,1610.05241,3577.713098
Nocciolato,0,21,7,2,3576.511856,1610.251329,1610.711869,3576.20384
Nocciolato,0,21,7,3,3553.828633,1610.863221,1611.269707,3554.666146
Nocciolato,0,21,7,4,3598.956703,1611.399437,1611.777815,3599.460658
Nocciolato,0,21,7,5,3565.12796,1611.907545,1612.270788,3564.88764
Nocciolato,0,21,7,6,3534.573171,1612.391869,1612.718356,3534.370442
Asimov,1,21,7,1,2698.496207,1599.873047,1600.021973,2712.606577
Asimov,1,21,7,2,2714.464835,1600.446045,1600.937988,2701.493432
Asimov,1,21,7,3,2722.486555,1601.23999,1601.803955,2714.69181
Asimov,1,21,7,4,2726.653315,1601.984009,1602.567993,2825.386348
Asimov,1,21,7,5,2777.502559,1602.713989,1603.243042,2727.425853
