bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,,,,,,,,,,,,
Uilli,1,8,6,15,3328.911689,245.4540197,245.7091549,3327.488446,,,,,,,,,,
Uilli,1,8,6,16,3332.748092,245.8345603,246.0810468,3334.578236,,,,,,,,,,
Uilli,1,8,6,17,3325.53129,246.2129387,246.4486143,3326.380604,,,,,,,,,,
Uilli,1,8,6,18,3318.613139,246.5848305,246.8205062,3317.894939,,,,,,,,,,
Uilli,1,8,6,19,3337.397519,246.9610468,247.2269927,3335.04135,,,,,,,,,,
Uilli,1,8,6,20,3263.390689,247.3653711,247.6918576,3264.851726,,,,,,,,,,
Uilli,1,8,6,21,3391.421355,247.8669927,248.137263,3389.176944,,,,,,,,,,
Reginald,0,10,7,1,3203.958888,258.8264865,259.3194595,3202.883952,,,,,,,,,,
Reginald,0,10,7,2,3251.837081,259.4794595,260.0372973,3251.794642,,,,,,,,,,
Reginald,0,10,7,3,3290.023279,260.2362162,260.6513514,3290.39764,,,,,,,,,,
Uilli,1,10,7,1,3542.862229,252.697263,252.8918576,3545.676998,,,,,,,,,,
Uilli,1,10,7,2,3511.905835,253.0432089,253.2486143,3509.890716,,,,,,,,,,
Uilli,1,10,7,3,3478.088448,253.3956414,253.6075332,3477.977528,,,,,,,,,,
Uilli,1,10,7,4,3404.512747,253.7351008,253.9599657,3401.885651,,,,,,,,,,
Uilli,1,10,7,5,3392.956938,254.0788846,254.3188846,3395.512518,,,,,,,,,,
Uilli,1,10,7,6,3398.647757,254.4205062,254.630236,3389.740541,,,,,,,,,,
Uilli,1,10,7,7,3399.32747,254.7664522,254.991317,3401.885651,,,,,,,,,,
Uilli,1,10,7,8,3394.558726,255.1232089,255.3588846,3394.265923,,,,,,,,,,
Reginald,0,11,8,1,1906.388676,368.832973,368.98,1904.380012,,,,,,,,,,
Reginald,0,11,8,2,1932.309582,369.1962162,369.3735135,1934.556849,,,,,,,,,,
Reginald,0,11,8,3,1945.904437,369.5681081,369.7713514,1943.273092,,,,,,,,,,
Reginald,0,11,8,4,1970.119565,369.94,370.1605405,1967.859346,,,,,,,,,,
Reginald,0,11,8,5,1974.565722,370.3291892,370.5843243,1975.32883,,,,,,,,,,
Reginald,0,11,8,6,1983.607791,370.7313514,370.9908108,1980.896618,,,,,,,,,,
Uilli,1,11,8,1,3750.939875,368.4810468,368.9783441,3750.239387,,,,,,,,,,
Uilli,1,11,8,2,3695.916335,369.2594251,369.7480738,3695.805104,,,,,,,,,,
Uilli,1,11,8,3,3681.030011,369.9491549,370.3837495,3679.218408,,,,,,,,,,
Uilli,1,11,8,4,4403.066038,370.5783441,371.0821278,4402.655624,,,,,,,,,,
Uilli,1,11,8,5,4339.156627,371.2961819,371.7675332,4338.504835,,,,,,,,,,
Uilli,1,11,8,6,4406.183057,371.9296954,372.351317,4409.051307,,,,,,,,,,
Reginald,0,13,9,1,2601.585381,384.5518919,385.0967568,2600.595114,,,,,,,,,,
Reginald,0,13,9,2,2608.322107,385.3605405,385.8059459,2608.776663,,,,,,,,,,
Reginald,0,13,9,3,2625.717213,386.0264865,386.4243243,2631.672841,,,,,,,,,,
Uilli,1,13,9,1,4861.599552,380.0723981,380.7037495,4860.930934,,,,,,,,,,
Uilli,1,13,9,2,4714.742666,380.8810468,381.2745603,4713.927625,,,,,,,,,,
Uilli,1,13,9,3,4530.55383,381.4086143,381.910236,4551.139138,,,,,,,,,,
Uilli,1,13,9,4,4460.904478,382.0529387,382.4723981,4460.300557,,,,,,,,,,
Reginald,0,15,10,1,1745.665635,831.1075676,831.22,1743.012704,,,,,,,,,,
Reginald,0,15,10,2,1687.319712,831.3410811,831.4751351,1693.284844,,,,,,,,,,
Reginald,0,15,10,3,1692.012557,831.5745946,831.7302703,1695.659773,,,,,,,,,,
Reginald,0,15,10,4,1713.041649,831.8081081,831.9681081,1712.257333,,,,,,,,,,
Reginald,0,15,10,5,1708.733162,832.0545946,832.2232432,1707.555795,,,,,,,,,,
Uilli,1,15,10,1,3097.531607,819.3518919,819.4578378,3104.836294,,,,,,,,,,
Uilli,1,15,10,2,3117.692308,819.6135135,819.7345946,3113.426966,,,,,,,,,,
Uilli,1,15,10,3,3037.980085,819.8275676,819.9443243,3040.4933,,,,,,,,,,
