bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,
BigMac,0,28,14,13,1603.636364,,
BigMac,0,28,14,14,1642.628039,,
BigMac,0,28,14,15,1640.12813,,
BigMac,0,28,14,16,1628.757005,,
BigMac,0,28,14,17,1644.119368,,
BigMac,0,28,14,18,1653.386139,,
BigMac,0,28,14,19,1622.222222,,
BigMac,0,28,14,20,1638.294393,,
Gasolino,1,28,14,1,2815.495669,,
Gasolino,1,28,14,2,2808.227848,,
Gasolino,1,28,14,3,2804.605263,,
Gasolino,1,28,14,4,2822.174976,,
Gasolino,1,28,14,5,2790,,
Gasolino,1,28,14,6,2782.086614,,
Gasolino,1,28,14,7,2816.47795,,
Gasolino,1,28,14,8,2807.8812,,
Gasolino,1,28,14,9,2784.21646,,
Gasolino,1,28,14,10,2778.257059,,
Gasolino,1,28,14,11,2787.829146,,
Gasolino,1,28,14,12,2774.11872,,
Gasolino,1,28,14,13,2779.693795,,
Gasolino,1,28,14,14,2759.770115,,
Gasolino,1,28,14,15,2758.193172,,
