bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,,
Mecca,0,17,8,4,5339.850609,1757.624324,1758.080541,5339.343936
Mecca,0,17,8,5,5385.616438,1758.359459,1758.800541,5386.674892
Mecca,0,17,8,6,4987.926118,1759.064324,1759.578919,4988.309685
Grandmaster,1,18,9,1,2104.555315,1841.463243,1841.523784,2097.640449
Grandmaster,1,18,9,2,2095.698484,1841.716216,1841.824324,2099.559564
Grandmaster,1,18,9,3,2147.607053,1841.947568,1842.057838,2149.228871
Grandmaster,1,18,9,4,2079.498987,1842.152973,1842.276216,2076.821192
Grandmaster,1,18,9,5,2072.019635,1842.373514,1842.498919,2073.042849
Grandmaster,1,18,9,6,2047.091159,1842.581081,1842.715135,2051.336265
Grandmaster,1,18,9,7,2084.346942,1842.78,1842.916216,2084.620506
Grandmaster,1,18,9,8,2054.212091,1842.98973,1843.132432,2052.955195
Grandmaster,1,18,9,9,2049.315562,1843.199459,1843.335676,2055.259654
Grandmaster,1,18,9,10,2018.854749,1843.402703,1843.538919,2018.558589
Grandmaster,1,18,9,11,2043.433357,1843.608108,1843.772432,2044.65296
Grandmaster,1,18,9,12,2038.40602,1843.848108,1843.995135,2033.605799
Grandmaster,1,18,9,13,2032.319277,1844.070811,1844.217838,2033.605799
Mecca,0,18,9,1,3108.984375,1852.182162,1852.534595,3109.669948
Mecca,0,18,9,2,3236.137853,1852.822162,1853.243784,3235.043562
Mecca,0,18,9,3,3214.322178,1853.466486,1853.948649,3214.588036
Mecca,0,18,9,4,3233.956945,1854.158378,1854.763784,3234.121128
Mecca,0,18,9,5,3198.789674,1854.923784,1855.421081,3199.265879
