bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,,,,,,,,,,
Uilli,0,14,5,10,2051.072622,394.8399657,395.1145603,2050.231214,,,,,,,,
Uilli,0,14,5,11,2034.250323,395.2551008,395.5253711,2053.486031,,,,,,,,
Uilli,0,14,5,12,2070.921132,395.657263,395.9232089,2071.711143,,,,,,,,
Uilli,0,14,5,13,2054.909416,396.0421278,396.3188846,2052.339205,,,,,,,,
Uilli,0,14,5,14,2056.915629,396.457263,396.7361819,2057.832697,,,,,,,,
Uilli,0,14,5,15,2069.252504,396.8637495,397.1318576,2069.984777,,,,,,,,
Uilli,0,14,5,16,2049.084222,397.2680738,397.56429,2049.043172,,,,,,,,
Uilli,0,14,5,17,2079.771904,397.7026684,397.9837495,2084.753146,,,,,,,,
Reginald,1,16,6,1,1743.958925,831.1075676,831.22,1743.012704,,,,,,,,
Reginald,1,16,6,2,1694.283088,831.3410811,831.4751351,1693.284844,,,,,,,,
Reginald,1,16,6,3,1692.479109,831.5745946,831.7302703,1695.659773,,,,,,,,
Reginald,1,16,6,4,1711.122006,831.8081081,831.9681081,1712.257333,,,,,,,,
Reginald,1,16,6,5,1706.341668,832.0545946,832.2232432,1707.555795,,,,,,,,
Uilli,0,16,6,1,1738.85001,832.7421622,833.1205405,1738.946485,,,,,,,,
Uilli,0,16,6,2,1724.199104,833.3367568,833.7367568,1724.902216,,,,,,,,
Uilli,0,16,6,3,1714.217252,833.9508108,834.3789189,1712.145127,,,,,,,,
Uilli,0,16,6,4,1684.670006,834.5756757,834.9908108,1683.739349,,,,,,,,
Uilli,0,16,6,5,1657.827991,835.1875676,835.6286486,1657.264035,,,,,,,,
Uilli,0,16,6,6,1642.316153,835.8340541,836.2708108,1623.32693,,,,,,,,
Uilli,0,16,6,7,1575.31831,836.5172973,836.967027,1574.205909,,,,,,,,
Uilli,0,16,6,8,1572.015365,837.1789189,837.62,1571.11351,,,,,,,,
Uilli,0,16,6,9,1561.339082,837.847027,838.2816216,1562.344777,,,,,,,,
Uilli,0,16,6,10,1552.848553,838.4827027,838.9194595,1552.349307,,,,,,,,
Uilli,0,16,6,11,1570.127191,839.1205405,839.5832432,1571.140841,,,,,,,,
Reginald,1,17,7,1,1977.269685,863.2935135,863.4016216,1979.32047,,,,,,,,
Reginald,1,17,7,2,2027.831559,863.5702703,863.7086486,2030.4932,,,,,,,,
Reginald,1,17,7,3,2057.314229,863.8124324,863.9594595,2060.811228,,,,,,,,
Reginald,1,17,7,4,2078.609946,864.0286486,864.1497297,2081.123596,,,,,,,,
Reginald,1,17,7,5,2080.854127,864.2145946,864.3659459,2081.123596,,,,,,,,
Reginald,1,17,7,6,2098.917526,864.4437838,864.5648649,2097.640449,,,,,,,,
Reginald,1,17,7,7,2104.994055,864.6427027,864.7854054,2109.00858,,,,,,,,
Reginald,1,17,7,8,2116.468005,864.8502703,864.9972973,2115.222085,,,,,,,,
Reginald,1,17,7,9,2117.710843,865.0621622,865.2091892,2122.023442,,,,,,,,
Uilli,0,17,7,1,1337.249379,869.2978378,869.4297297,1334.296029,,,,,,,,
Uilli,0,17,7,2,1369.565217,869.6935135,869.8362162,1366.301239,,,,,,,,
Uilli,0,17,7,3,1398.574338,870.0567568,870.2124324,1425.895718,,,,,,,,
Uilli,0,17,7,4,1449.326425,870.4264865,870.5843243,1450.782933,,,,,,,,
Uilli,0,17,7,5,1457.537002,870.8091892,870.967027,1457.11823,,,,,,,,
Uilli,0,17,7,6,1447.757363,871.1897297,871.3518919,1449.035235,,,,,,,,
Reginald,1,20,8,1,5611.391863,1122.679459,1123.116216,5611.811432,,,,,,,,
Reginald,1,20,8,2,5399.243556,1123.34973,1123.808108,5403.695276,,,,,,,,
Reginald,1,20,8,3,5237.154763,1124.041622,1124.448108,5237.290121,,,,,,,,
Uilli,0,20,8,1,1243.250057,1126.624324,1127.115135,1242.827443,,,,,,,,
Uilli,0,20,8,2,1307.383406,1127.361622,1127.813514,1307.797682,,,,,,,,
Reginald,1,25,9,1,3151.178451,1453.154286,1453.623476,3152.131258,,,,,,,,
Reginald,1,25,9,2,3159.240077,1453.81807,1454.289421,3152.576129,,,,,,,,
