start,end,pb,start,end,bird
1.205918,4.269184,2400,2.985714,5.909388,2463.235
0.55449,3.547438,3200,2.824331,4.886644,3218.627
0.897959,4.02585,2800,5.09966,6.308163,2923.039
0.897959,4.02585,2800,9.904761,11.70159,3472.549
0.36449,3.45102,3200,2.551429,6.413469,2955.882
0.453401,3.527755,6000,2.67068,3.630136,6322.304
1.040816,4.132041,2800,3.642857,4.884898,2545.343
