Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Delta Time (s),Delta Freq (Hz),Avg Power Density (dB FS/Hz),Annotation,
2,Spectrogram 1,1,3.018954607,3.018954607,2558.088,2558.088,0,0,-50.59,,2400
3,Spectrogram 1,1,3.281471151,3.281471151,2666.176,2666.176,0,0,-48.01,,2400
4,Spectrogram 1,1,3.54029028,3.54029028,2702.206,2702.206,0,0,-51.49,,2400
5,Spectrogram 1,1,3.799109408,3.799109408,2702.206,2702.206,0,0,-55.17,,2400
6,Spectrogram 1,1,4.113389779,4.113389779,2666.176,2666.176,0,0,-48.49,,2400
7,Spectrogram 1,1,4.411873941,4.411873941,2594.118,2594.118,0,0,-44.99,,2400
8,Spectrogram 1,1,4.613383119,4.613383119,2594.118,2594.118,0,0,-48.78,,2400
9,Spectrogram 1,1,4.896235453,4.896235453,2450,2450,0,0,-57.14,,2400
10,Spectrogram 1,1,5.203120991,5.203120991,2522.059,2522.059,0,0,-49.64,,2400
,,,,,,,,,,,
1,Spectrogram 1,1,2.729720167,2.729720167,5080.147,5080.147,0,0,-47.93,,5000
2,Spectrogram 1,1,3.158669053,3.158669053,4972.059,4972.059,0,0,-39.78,,5000
,,,,,,,,,,,
1,Spectrogram 1,1,4.007767337,4.007767337,3206.618,3206.618,0,0,-45.82,,3200
2,Spectrogram 1,1,4.565896675,4.565896675,3242.647,3242.647,0,0,-39.59,,3200
,,,,,,,,,,,
1,Spectrogram 1,1,3.898682599,3.898682599,2810.294,2810.294,0,0,-42.69,,2800
2,Spectrogram 1,1,4.325436754,4.325436754,2774.265,2774.265,0,0,-34.88,,2800
3,Spectrogram 1,1,4.639330305,4.639330305,2702.206,2702.206,0,0,-41.97,,2800
4,Spectrogram 1,1,4.956750751,4.956750751,2666.176,2666.176,0,0,-37.44,,2800
5,Spectrogram 1,1,5.249482939,5.249482939,2666.176,2666.176,0,0,-37.73,,2800
6,Spectrogram 1,1,5.542215128,5.542215128,2558.088,2558.088,0,0,-37.5,,2800
,,,,,,,,,,,
1,Spectrogram 1,1,2.830035443,2.830035443,2846.324,2846.324,0,0,-44.92,,2800
2,Spectrogram 1,1,3.428882534,3.428882534,2846.324,2846.324,0,0,-33.7,,2800
,,,,,,,,,,,
1,Spectrogram 1,1,2.158289383,2.158289383,2666.176,2666.176,0,0,-34.83,,2400
2,Spectrogram 1,1,2.792606063,2.792606063,2594.118,2594.118,0,0,-35.93,,2400
,,,,,,,,,,,
1,Spectrogram 1,1,2.888984719,2.888984719,3242.647,3242.647,0,0,-53.65,,3200
2,Spectrogram 1,1,3.555400826,3.555400826,3314.706,3314.706,0,0,-33.53,,3200
,,,,,,,,,,,
1,Spectrogram 1,1,2.157575279,2.157575279,2161.765,2161.765,0,0,-38.59,,2400
,,,,,,,,,,,
1,Spectrogram 1,1,2.282800592,2.282800592,2882.353,2882.353,0,0,-36.89,,2800
2,Spectrogram 1,1,2.851934971,2.851934971,2774.265,2774.265,0,0,-30.39,,2800
,,,,,,,,,,,
1,Spectrogram 1,1,2.295723385,2.295723385,2810.294,2810.294,0,0,-31.79,,2800
2,Spectrogram 1,1,2.749620694,2.749620694,2882.353,2882.353,0,0,-26.2,,2800
,,,,,,,,,,,
1,Spectrogram 1,1,2.436893653,2.436893653,3242.647,3242.647,0,0,-27.22,,3200
2,Spectrogram 1,1,2.706124469,2.706124469,3386.765,3386.765,0,0,-34.21,,3200
3,Spectrogram 1,1,2.96751361,2.96751361,3386.765,3386.765,0,0,-36.85,,3200
4,Spectrogram 1,1,3.312547277,3.312547277,3422.794,3422.794,0,0,-15.88,,3200
,,,,,,,,,,,
1,Spectrogram 1,1,3.028799131,3.028799131,3242.647,3242.647,0,0,-48.86,,2800
,,,,,,,,,,,
1,Spectrogram 1,1,3.990026893,3.990026893,3134.559,3134.559,0,0,-60.94,,3200
,,,,,,,,,,,
1,Spectrogram 1,1,4.412161475,4.412161475,3206.618,3206.618,0,0,-62.89,,3200
2,Spectrogram 1,1,4.882165201,4.882165201,3170.588,3170.588,0,0,-52.91,,3200
3,Spectrogram 1,1,5.352168928,5.352168928,3098.529,3098.529,0,0,-51.3,,3200
4,Spectrogram 1,1,5.73325303,5.73325303,3170.588,3170.588,0,0,-57.74,,3200
5,Spectrogram 1,1,6.220193828,6.220193828,3098.529,3098.529,0,0,-47.57,,3200
