Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Delta Time (s),Delta Freq (Hz),Avg Power Density (dB FS/Hz),Annotation,
1,Spectrogram 1,1,8.046976915,8.046976915,1789.951,1789.951,0,0,-59.2,,2400
2,Spectrogram 1,1,8.987546264,8.987546264,1757.108,1757.108,0,0,-56.82,,2400
,,,,,,,,,,,
1,Spectrogram 1,1,12.63527059,12.63527059,1773.529,1773.529,0,0,-57.57,,2400
2,Spectrogram 1,1,13.60288704,13.60288704,1757.108,1757.108,0,0,-50.03,,2400
3,Spectrogram 1,1,14.34547641,14.34547641,1757.108,1757.108,0,0,-56.44,,2400
4,Spectrogram 1,1,14.96430088,14.96430088,1822.794,1822.794,0,0,-44.63,,2400
5,Spectrogram 1,1,15.77439837,15.77439837,1806.373,1806.373,0,0,-54.84,,2400
6,Spectrogram 1,1,16.29196066,16.29196066,1839.216,1839.216,0,0,-54.16,,2400
