Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Delta Time (s),Delta Freq (Hz),Avg Power Density (dB FS/Hz),Annotation,
1,Spectrogram 1,1,3.991395814,3.991395814,2381.127,2381.127,0,0,-40.96,,2400
,,,,,,,,,,,
1,Spectrogram 1,1,4.167594205,4.167594205,3136.52,3136.52,0,0,-53.99,,3200
2,Spectrogram 1,1,4.715396537,4.715396537,3120.098,3120.098,0,0,-42.1,,3200
3,Spectrogram 1,1,5.32227559,5.32227559,3070.833,3070.833,0,0,-41.03,,3200
4,Spectrogram 1,1,5.778777532,5.778777532,3169.363,3169.363,0,0,-39.94,,3200
5,Spectrogram 1,1,6.186943975,6.186943975,3218.627,3218.627,0,0,-41.06,,3200
6,Spectrogram 1,1,6.60585164,6.60585164,3267.892,3267.892,0,0,-38.41,,3200
7,Spectrogram 1,1,6.954941361,6.954941361,3317.157,3317.157,0,0,-36.4,,3200
