Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Delta Time (s),Delta Freq (Hz),Avg Power Density (dB FS/Hz),Annotation,
2,Spectrogram 1,1,4.3623102,4.3623102,2790.703,2790.703,0,0,-35.94,,2800
,,,,,,,,,,,
1,Spectrogram 1,1,3.591960947,3.591960947,2687.344,2687.344,0,0,-40.23,,2400
2,Spectrogram 1,1,4.213116726,4.213116726,2411.719,2411.719,0,0,-34.86,,2400
3,Spectrogram 1,1,4.668945872,4.668945872,2480.625,2480.625,0,0,-30.19,,2400
,,,,,,,,,,,
1,Spectrogram 1,1,5.498207189,5.498207189,2825.156,2825.156,0,0,-37.61,,3200
2,Spectrogram 1,1,6.035576587,6.035576587,2997.422,2997.422,0,0,-43.27,,3200
,,,,,,,,,,,
1,Spectrogram 1,1,3.8219501,3.8219501,3307.5,3307.5,0,0,-40.81,,3200
,,,,,,,,,,,
1,Spectrogram 1,1,8.567813139,8.567813139,6442.734,6442.734,0,0,-43.42,,5000
,,,,,,,,,,,
1,Spectrogram 1,1,3.225892045,3.225892045,5788.125,5788.125,0,0,-48.71,,5000
,,,,,,,,,,,
1,Spectrogram 1,1,13.73522047,13.73522047,5891.484,5891.484,0,0,-73.24,,6000
2,Spectrogram 1,1,14.57264817,14.57264817,6236.016,6236.016,0,0,-53.66,,6000
,,,,,,,,,,,
1,Spectrogram 1,1,4.648599574,4.648599574,6304.922,6304.922,0,0,-50.08,,6000
2,Spectrogram 1,1,5.109921661,5.109921661,6546.094,6546.094,0,0,-44.9,,6000
,,,,,,,,,,,
1,Spectrogram 1,1,4.374704643,4.374704643,2583.984,2583.984,0,0,-26.27,,2800
2,Spectrogram 1,1,4.751054027,4.751054027,2687.344,2687.344,0,0,-32.89,,2800
,,,,,,,,,,,
1,Spectrogram 1,1,4.37143756,4.37143756,3445.312,3445.312,0,0,-30.38,,3200
2,Spectrogram 1,1,4.831778732,4.831778732,3445.312,3445.312,0,0,-28.95,,3200
,,,,,,,,,,,
1,Spectrogram 1,1,12.23444115,12.23444115,3458.824,3458.824,0,0,-55.87,,3200
2,Spectrogram 1,1,12.70528987,12.70528987,3350.735,3350.735,0,0,-36.16,,3200
3,Spectrogram 1,1,13.30004614,13.30004614,3242.647,3242.647,0,0,-31.17,,3200
4,Spectrogram 1,1,13.77832931,13.77832931,3170.588,3170.588,0,0,-32.2,,3200
,,,,,,,,,,,
1,Spectrogram 1,1,8.081048916,8.081048916,2594.118,2594.118,0,0,-46.45,,2800
2,Spectrogram 1,1,8.653570819,8.653570819,2630.147,2630.147,0,0,-35.8,,2800
3,Spectrogram 1,1,9.127138319,9.127138319,2558.088,2558.088,0,0,-42.43,,2800
,,,,,,,,,,,
1,Spectrogram 1,1,4.666345165,4.666345165,2341.912,2341.912,0,0,-40.2,,2400
2,Spectrogram 1,1,5.380671609,5.380671609,2341.912,2341.912,0,0,-30.19,,2400
3,Spectrogram 1,1,6.001825038,6.001825038,2377.941,2377.941,0,0,-27.39,,2400
,,,,,,,,,,,
1,Spectrogram 1,1,4.088042687,4.088042687,4847.872,4847.872,0,0,-43.14,,5000
2,Spectrogram 1,1,4.675165167,4.675165167,4755.882,4755.882,0,0,-29.63,,5000
,,,,,,,,,,,
1,Spectrogram 1,1,2.088849103,2.088849103,2810.294,2810.294,0,0,-52.24,,3200
2,Spectrogram 1,1,2.780343882,2.780343882,2846.324,2846.324,0,0,-42.93,,3200
