Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Delta Time (s),Delta Freq (Hz),Avg Power Density (dB FS/Hz),Annotation,
1,Spectrogram 1,1,1.811194015,1.811194015,2578.186,2578.186,0,0,-53.43,,2400
2,Spectrogram 1,1,2.450585308,2.450585308,2824.51,2824.51,0,0,-47.81,,2400
,,,,,,,,,,,
1,Spectrogram 1,1,2.413185493,2.413185493,2758.824,2758.824,0,0,-53.41,,2800
2,Spectrogram 1,1,2.968404264,2.968404264,2873.775,2873.775,0,0,-51.59,,2800
,,,,,,,,,,,
1,Spectrogram 1,1,2.414247859,2.414247859,2906.618,2906.618,0,0,-49.04,,3200
